Polish sentence	English meaning	Frequency
Naprawdę cię lubię.	I really like you.	[ 83 26 47 ]
To należy do mnie.	That belongs to me.	[ 6 181 7 14 ]
Co ona ma?	What does she have?	[ 22 125 12 ]
Czy to twój dom?	Is that your house?	[ 67 6 39 103 ]
Gdzie jest moja książka ?	Where is my book?	[ 84 1 96 90 ]
Nie mogę tego zrobić.	I can't do this.	[ 5 24 19 169 ]
Nie chciałem tego.	I didn't want that.	[ 5 139 19 ]
Nie, nie wiem.	No, I don't know.	[ 5 5 154 ]
Już nie chcę więcej.	I don't want any more.	[ 25 5 77 113 ]
Tutaj nic nie ma.	There is nothing here.	[ 78 126 5 12 ]
Chcesz coś?	Do you want something?	[ 74 38 ]
Nie mogę tego zrobić teraz.	I can't do it right away.	[ 5 24 19 169 63 ]
Nie mogę tego teraz zrobić.	I can't do it right now.	[ 5 24 19 63 169 ]
To mój samochód.	This is my car.	[ 6 41 122 ]
Tutaj jest książka.	There's a book here.	[ 78 1 90 ]
Jesteś nowy, co?	You're new, huh?	[ 49 99 22 ]
Tu jest twoja książka.	Here is your book.	[ 32 1 105 90 ]
Czy naprawdę to chcesz?	Do you really want it?	[ 67 83 6 74 ]
Czy nie chcesz iść?	Don't you want to go?	[ 67 5 74 88 ]
Gdzie jest twój ojciec?	Where is your father?	[ 84 1 39 115 ]
Jesteś tu nowy.	You're new here.	[ 49 32 99 ]
To wszystko, co mogę dla Ciebie zrobić.	This is all I can do for you.	[ 6 94 22 24 31 75 169 ]
Nie mów mu o tym.	Don't talk to him about it.	[ 5 196 44 13 46 ]
Jesteś bardzo dobry.	You're very good.	[ 49 15 119 ]
On już tu nie mieszka.	He doesn't live there anymore.	[ 65 25 32 5 180 ]
Nie może tego zrobić.	He can't do it.	[ 5 53 19 169 ]
Mogę iść z Tobą?	May I go with you?	[ 24 88 8 127 ]
Gdzie jest mój samochód?	Where is my car?	[ 84 1 41 122 ]
Książka jest moja.	The book is mine.	[ 90 1 96 ]
I ty?	And you?	[ 27 98 ]
On mówi za szybko.	He speaks too fast.	[ 65 73 11 101 ]
Naprawdę nie chcesz iść?	Are you seriously thinking about not going?	[ 83 5 74 88 ]
To mój pokój.	This is my room.	[ 6 41 143 ]
Tutaj jesteś.	There you are.	[ 78 49 ]
On bardzo szybko mówi.	He speaks very fast.	[ 65 15 101 73 ]
Czy to twój pokój?	Is that your room?	[ 67 6 39 143 ]
To moja książka.	This book is mine.	[ 6 96 90 ]
Nie chcę mówić.	I don't want to talk.	[ 5 77 110 ]
Gdzie jesteś teraz?	Where are you now?	[ 84 49 63 ]
Masz wszystko?	Do you have everything?	[ 37 94 ]
Ten dom należy do mnie.	That house belongs to me.	[ 23 103 181 7 14 ]
To jest ktoś.	He is quite a character.	[ 6 1 190 ]
Nie rozumiem tego.	I don't understand this.	[ 5 173 19 ]
Kiedy to było?	When was that?	[ 155 6 36 ]
To nie jest moje imię.	It is not my name.	[ 6 5 1 64 253 ]
On teraz uczy się.	He's now studying.	[ 65 63 134 2 ]
Mogę to zrobić.	I can do this.	[ 24 6 169 ]
Gdzie jesteś?	Where are you?	[ 84 49 ]
Co to jest, czego ty chcesz?	What is it that you want?	[ 22 6 1 198 98 74 ]
Czy będzie z tobą dobrze?	Are you going to be OK?	[ 67 51 8 127 80 ]
To twoja książka.	That is your book.	[ 6 105 90 ]
Czy to twoja książka?	Is this your book?	[ 67 6 105 90 ]
To jest moja żona.	This is my wife.	[ 6 1 96 165 ]
To ich dom.	This is their house.	[ 6 93 103 ]
Mam sobie iść?	Do you want me to leave?	[ 43 71 88 ]
Mogę iść gdzie chcesz.	I can go wherever you like.	[ 24 88 84 74 ]
Uczy się.	He's studying.	[ 134 2 ]
Nie rozumiem cię.	I do not understand you.	[ 5 173 26 ]
To jest moje, a to jest twoje.	This is mine, and this is yours.	[ 6 1 64 307 6 1 91 ]
Nie wiem gdzie jestem.	I don't know where I am.	[ 5 154 84 30 ]
Chcę tam iść.	I want to go there.	[ 77 40 88 ]
Tu możesz się uczyć.	You can study here.	[ 32 104 2 136 ]
To jest jedzenie.	This is food.	[ 6 1 199 ]
Nie nie mów.	Don't say anything.	[ 5 5 196 ]
On nie należy do nas.	He doesn't belong to us.	[ 65 5 181 7 86 ]
To wszystko, co wiem.	This is all I know.	[ 6 94 22 154 ]
Nie znam go.	I don't know him.	[ 5 183 21 ]
Ten pies jest mój.	The dog is mine.	[ 23 215 1 41 ]
Ta książka nie jest moja.	This book isn't mine.	[ 161 90 5 1 96 ]
Wiem tylko to.	I know only this.	[ 154 52 6 ]
Co jest ze mną nie tak?	What is wrong with me?	[ 22 1 45 298 5 54 ]
Tego też nie mogę zrobić.	I can't do it either.	[ 19 138 5 24 169 ]
Naprawdę chcesz tam iść?	Are you seriously thinking about going?	[ 83 74 40 88 ]
Ta książka jest dla Ciebie.	This book is for you.	[ 161 90 1 31 75 ]
Nie wiem jeszcze.	I don't know yet.	[ 5 154 56 ]
Nie chciałem.	I didn't mean it.	[ 5 139 ]
Co chcesz kupić?	What do you want to buy?	[ 22 74 120 ]
On dobrze mówi.	He does speak well.	[ 65 80 73 ]
Nie zapomnij o mnie.	Don't forget about me.	[ 5 261 13 14 ]
Nie znam jej.	I don't know her.	[ 5 183 33 ]
Bardzo chcę go zobaczyć.	I want to see him very much.	[ 15 77 21 182 ]
Jesteś nowy?	Are you new?	[ 49 99 ]
Czy mogę zobaczyć ten?	Can I see this one?	[ 67 24 182 23 ]
Wszystko będzie dobrze.	Everything will be OK.	[ 94 51 80 ]
Nie chce ci się pić?	Aren't you thirsty?	[ 5 131 18 2 220 ]
On naprawdę dobrze mówi.	He does speak well.	[ 65 83 80 73 ]
Czy masz samochód?	Do you have a car?	[ 67 37 122 ]
Bardzo chce mi się pić.	I'm very thirsty.	[ 15 131 9 2 220 ]
On się szybko uczy.	He learns fast.	[ 65 2 101 134 ]
Byłem już tutaj.	I've been here before.	[ 124 25 78 ]
Chcę ciebie.	I want you.	[ 77 75 ]
On może mówić.	He can speak.	[ 65 53 110 ]
Nie musisz tam iść.	You don't have to go there.	[ 5 171 40 88 ]
Wiem, gdzie on jest.	I know where he is.	[ 154 84 65 1 ]
Nie zawsze możesz dostać to, co chcesz.	You can't always get what you want.	[ 5 79 104 243 6 22 74 ]
Czy mogę iść z nim?	May I go with him?	[ 67 24 88 8 194 ]
On może mówić co chce.	He can say whatever he wants.	[ 65 53 110 22 131 ]
On jest bardzo zły na ciebie.	He's very angry with you.	[ 65 1 15 300 4 75 ]
On gra bardzo dobrze.	He plays very well.	[ 65 148 15 80 ]
Wszystko z tobą dobrze?	Are you OK?	[ 94 8 127 80 ]
Wygląda jak jego ojciec.	He looks like his father.	[ 142 20 34 115 ]
Nie umie tego zrobić.	He can't do that.	[ 5 118 19 169 ]
Co mam zrobić?	What should I do?	[ 22 43 169 ]
Jak masz na imię?	What is your name?	[ 20 37 4 253 ]
On bardzo lubi jedzenie.	He is very fond of eating.	[ 65 15 35 199 ]
Jak masz na imię?	What's your name?	[ 20 37 4 253 ]
Jak masz na imię?	What is your first name?	[ 20 37 4 253 ]
Czy jest coś, czego nie mogę jeść?	Is there anything that I should not eat?	[ 67 1 38 198 5 24 217 ]
Nie mogę ci jeszcze powiedzieć.	I can't tell you yet.	[ 5 24 18 56 291 ]
Jest coś co chcę mu powiedzieć.	I have something that I want to say to him.	[ 1 38 22 77 44 291 ]
Nie znam go zbyt dobrze.	I don't know him very well.	[ 5 183 21 108 80 ]
Nie wiem.	I don't know.	[ 5 154 ]
To wszystko, co o nim wiem.	This is all that I know about him.	[ 6 94 22 13 194 154 ]
Naprawdę nie wiem.	I really don't know.	[ 83 5 154 ]
Naprawdę chcesz zostać?	Do you really want to stay?	[ 83 74 85 ]
Chyba coś z tobą nie tak.	I think there's something wrong with you.	[ 252 38 8 127 5 54 ]
W czym jesteś dobry?	What're you good at?	[ 3 152 49 119 ]
Chcesz iść?	You want to go?	[ 74 88 ]
Jeśli nie teraz to kiedy?	If not now, then when?	[ 178 5 63 6 155 ]
Tak, dwa.	Yes, two.	[ 54 109 ]
Będę się dużo uczyć.	I'll study a lot.	[ 146 2 42 136 ]
Nie lubię być sam.	I dislike being alone.	[ 5 47 50 225 ]
Jestem już na to za stary.	I'm getting too old for this.	[ 30 25 4 6 11 415 ]
Nie mogę jeść.	I can't eat.	[ 5 24 217 ]
Mam samochód.	I have a car.	[ 43 122 ]
Nie chcę tu jeść.	I don't want to eat here.	[ 5 77 32 217 ]
Chcę to mieć.	I want to have it.	[ 77 6 166 ]
Naprawdę chcesz to zrobić?	Do you really want to do that?	[ 83 74 6 169 ]
Jest coś, czego nie rozumiem.	There is one thing I don't understand.	[ 1 38 198 5 173 ]
Tak, dobrze cię rozumiem.	Yes, I understand you well.	[ 54 80 26 173 ]
Twój pies jest tutaj.	Your dog is here.	[ 39 215 1 78 ]
Ja też go nie lubię.	I do not like him either.	[ 206 138 21 5 47 ]
Nie powinieneś iść.	You shouldn't go.	[ 5 158 88 ]
To nie jest coś, co każdy może zrobić.	It's not something anyone can do.	[ 6 5 1 38 22 379 53 169 ]
Możesz zrobić co tylko chcesz.	You can do whatever you want to.	[ 104 169 22 52 74 ]
Teraz muszę już iść.	I must go now.	[ 63 162 25 88 ]
Nie wierzę w to.	I don't believe it.	[ 5 324 3 6 ]
Czy do mnie mówisz?	Are you talking to me?	[ 67 7 14 251 ]
Nie mogę tego powiedzieć.	I can't tell it.	[ 5 24 19 291 ]
Czy ta książka jest Twoja?	Does this book belong to you?	[ 67 161 90 1 105 ]
Nie mów tak.	Don't say that.	[ 5 196 54 ]
Wiem gdzie są.	I know where they are.	[ 154 84 17 ]
Pies jest twój.	The dog is yours.	[ 215 1 39 ]
Wierzę w to co mówi.	I believe what he says.	[ 324 3 6 22 73 ]
On mnie nie zna.	He doesn't know me.	[ 65 14 5 259 ]
Tylko ty możesz to zrobić.	You're the only one who can do this.	[ 52 98 104 6 169 ]
To jego widziałem wczoraj.	He is the person whom I saw yesterday.	[ 6 34 245 60 ]
On właśnie się uczy.	He is doing his work.	[ 65 145 2 134 ]
To twój pies.	This is your dog.	[ 6 39 215 ]
Jeśli nie chcesz iść, nie musisz.	If you don't want to go, you don't need to.	[ 178 5 74 88 5 171 ]
Mówi szybko.	He speaks quickly.	[ 73 101 ]
Czy on ma dzieci?	Does he have any children?	[ 67 65 12 204 ]
Teraz tego nie potrzebujesz.	You don't need one now.	[ 63 19 5 262 ]
Mój brat mówi bardzo szybko.	My brother speaks very quickly.	[ 41 209 73 15 101 ]
Tu jest mój numer.	Here's my number.	[ 32 1 41 278 ]
Dzisiaj chcę już iść do domu.	Today, I want to go home already.	[ 76 77 25 88 7 256 ]
Co chcesz przez to powiedzieć?	What do you mean by that?	[ 22 74 48 6 291 ]
Ona może mówić co chce.	She can say whatever she wants.	[ 125 53 110 22 131 ]
Nie lubisz mnie.	You don't like me.	[ 5 246 14 ]
Chcę się z nią zobaczyć.	I want to see her.	[ 77 2 8 174 182 ]
Mogę już jeść?	Can I eat?	[ 24 25 217 ]
Czas na mnie.	I should head out.	[ 248 4 14 ]
Czy mogę pożyczyć twój samochód?	Can I borrow your car?	[ 67 24 192 39 122 ]
Nie rozumiem.	I don't understand.	[ 5 173 ]
On jest zły na ciebie.	He is angry with you.	[ 65 1 300 4 75 ]
To jest coś, co muszę zrobić sam.	This is something I need to do alone.	[ 6 1 38 22 162 169 225 ]
Czy jest coś, co możemy zrobić?	Is there something we can do?	[ 67 1 38 22 242 169 ]
Nie ja, tylko ty!	No I'm not; you are!	[ 5 206 52 98 ]
Czy masz taki?	Do you have one?	[ 67 37 167 ]
Mówię ci to.	I tell you this.	[ 247 18 6 ]
Nie rozumiem ich.	I don't understand them.	[ 5 173 93 ]
Muszę już iść.	I have to go now.	[ 162 25 88 ]
Wiem jak się tam dostać.	I know how to get there.	[ 154 20 2 40 243 ]
Lubię czytać.	I am fond of reading.	[ 47 137 ]
Mam książkę.	I have a book.	[ 43 141 ]
Lubię czytać.	I like reading.	[ 47 137 ]
Już to widziałem.	I've seen that.	[ 25 6 245 ]
Nie widziałem cię.	I didn't see you.	[ 5 245 26 ]
To nie był wypadek.	It was not an accident.	[ 6 5 28 330 ]
Dlaczego nie ma cię tu?	Why aren't you here?	[ 387 5 12 26 32 ]
Pokój z Tobą!	Peace be with you!	[ 143 8 127 ]
Chce ci się pić?	Are you thirsty?	[ 131 18 2 220 ]
Możesz to zrobić.	You can do it.	[ 104 6 169 ]
On zawsze dobrze gra.	He always plays well.	[ 65 79 80 148 ]
Chcę tego czego ty chcesz.	I want to want what you want.	[ 77 19 198 98 74 ]
Wygląda jak jego matka.	He looks like his mother.	[ 142 20 34 177 ]
Nie wiem, dlaczego go dziś nie ma.	I don't know why he's not here today.	[ 5 154 387 21 69 5 12 ]
Nie znam ich.	I don't know them.	[ 5 183 93 ]
Czy jesteś w domu?	Are you at home?	[ 67 49 3 256 ]
Nie, nigdy tam nie byłem.	No, I've never been there.	[ 5 295 40 5 124 ]
Możesz zostać?	Can you stay?	[ 104 85 ]
Nie lubię szkoły.	I don't like school.	[ 5 47 232 ]
Nie potrzebujesz tego.	You don't need it.	[ 5 262 19 ]
Ten dom należy do niego.	That house belongs to him.	[ 23 103 181 7 163 ]
Jestem tu sam?	Am I alone here?	[ 30 32 225 ]
Długo go nie widziałem.	I haven't seen him for a long time.	[ 112 21 5 245 ]
Gdzie ja teraz jestem?	Where am I now?	[ 84 206 63 30 ]
To tam jest problem.	That's where the problem is.	[ 6 40 1 336 ]
Możesz iść.	You may go.	[ 104 88 ]
Ona może mówić.	She can speak.	[ 125 53 110 ]
To nie powinno tak być.	It shouldn't be like that.	[ 6 5 365 54 50 ]
Nie mogę powiedzieć ci nic więcej.	I can't tell you more than that.	[ 5 24 291 18 126 113 ]
Ja naprawdę tego chcę.	I really do want that.	[ 206 83 19 77 ]
Jestem w domu.	I am at home.	[ 30 3 256 ]
Czy mogę pożyczyć tę książkę?	May I borrow this book?	[ 67 24 192 59 141 ]
Muszę tam iść?	Do I need to go there?	[ 162 40 88 ]
Jak twoja żona?	How is your wife doing?	[ 20 105 165 ]
Co on chce zrobić?	What does he want to do?	[ 22 65 131 169 ]
Czy ta książka należy do Ciebie?	Does this book belong to you?	[ 67 161 90 181 7 75 ]
On jest sam.	He is alone.	[ 65 1 225 ]
On cię kocha.	He loves you.	[ 65 26 200 ]
Będę tam jutro.	I'll be there tomorrow.	[ 146 40 106 ]
Nie w tym problem.	That's not the problem.	[ 5 3 46 336 ]
Nie lubię być sam w domu.	I don't like being home alone.	[ 5 47 50 225 3 256 ]
On dużo je.	He eats a lot.	[ 65 42 187 ]
Co mógłbym dla Ciebie zrobić?	What could I do for you?	[ 22 193 31 75 169 ]
Jest pan dla mnie zbyt uprzejmy.	You are much too kind to me.	[ 1 55 31 14 108 381 ]
Nie wiem nic o nim.	I don't know anything about him at all.	[ 5 154 126 13 194 ]
On jeździ bardzo szybko.	He drives very fast.	[ 65 214 15 101 ]
Ona lubi czytać.	She likes to read.	[ 125 35 137 ]
Gdzie są twoje dzieci?	Where are your kids?	[ 84 17 91 204 ]
To jest mój rower.	This is my bike.	[ 6 1 41 350 ]
Muszę się uczyć.	I need to study.	[ 162 2 136 ]
On umie dobrze czytać.	He can read well.	[ 65 118 80 137 ]
On się tym nie interesuje.	He doesn't give a damn about that.	[ 65 2 46 5 383 ]
Nie mów.	You don't say.	[ 5 196 ]
Będę to miał.	He shall have it.	[ 146 6 150 ]
Mówisz za dużo.	You talk too much.	[ 251 11 42 ]
Czy twoja matka jest w domu?	Is your mother at home?	[ 67 105 177 1 3 256 ]
Znam go.	I know him.	[ 183 21 ]
Nie mogę żyć bez ciebie.	I can't live without you.	[ 5 24 344 62 75 ]
Nie jestem tak wysoki jak on.	I am not as tall as he.	[ 5 30 54 438 20 65 ]
Powinieneś więcej się uczyć!	You need to study more!	[ 158 113 2 136 ]
Nie wiem, czy mam czas.	I don't know if I have the time.	[ 5 154 67 43 248 ]
Możesz teraz iść do domu.	You may go home now.	[ 104 63 88 7 256 ]
Ten rower jest mój.	This bicycle is mine.	[ 23 350 1 41 ]
Nie interesuje go to.	He doesn't give a damn about that.	[ 5 383 21 6 ]
Tak, wiem.	Yes, I know it.	[ 54 154 ]
Prawie zawsze.	Almost always.	[ 129 79 ]
Już tego nie potrzebuję.	I don't need this anymore.	[ 25 19 5 368 ]
Co chcesz jeść?	What do you want to eat?	[ 22 74 217 ]
Do zobaczenia.	See you later!	[ 7 202 ]
Czy nie czas na jedzenie?	Isn't it about time to eat?	[ 67 5 248 4 199 ]
To jest dokładnie to co chciałem kupić.	That is exactly what I wanted to buy.	[ 6 1 439 6 22 139 120 ]
Miałem ci tego nie mówić.	I wasn't supposed to tell you that.	[ 372 18 19 5 110 ]
To było bardzo dobre.	That was very good.	[ 6 36 15 364 ]
Mój pokój jest bardzo mały.	My room is very small.	[ 41 143 1 15 327 ]
Musisz to zrobić dzisiaj.	You have to do it today.	[ 171 6 169 76 ]
Nie mogę cię tu zostawić.	I can't leave you here.	[ 5 24 26 32 441 ]
Jak to powiedzieć?	How to say it?	[ 20 6 291 ]
Jest ich zbyt wielu.	There are too many of them.	[ 1 93 108 221 ]
Dzisiaj nie czuję się dobrze.	I don't feel well today.	[ 76 5 366 2 80 ]
Moja siostra nie uczy się teraz.	My sister isn't studying now.	[ 96 335 5 134 2 63 ]
To ja.	It is I.	[ 6 206 ]
Lubię, jak mówisz.	I like the way you talk.	[ 47 20 251 ]
Nie mogę go znieść.	I can't stand him.	[ 5 24 21 374 ]
Chcę ci coś powiedzieć.	I want to say something to you.	[ 77 18 38 291 ]
Nie chcę czytać tej książki.	I don't want to read this book.	[ 5 77 137 82 229 ]
Ojciec jutro będzie w domu.	Father will be at home tomorrow.	[ 115 106 51 3 256 ]
On umie czytać.	He can read.	[ 65 118 137 ]
Chcę iść do domu.	I want to go home.	[ 77 88 7 256 ]
Lubię być sam.	I love being alone.	[ 47 50 225 ]
On po prostu taki już jest.	That's the way he is.	[ 65 16 370 167 25 1 ]
Nie wiem, czy on wie o tym.	I don't know if he knows it.	[ 5 154 67 65 402 13 46 ]
Czy możesz to znaleźć?	Can you find it?	[ 67 104 6 254 ]
Gdzie mamy iść?	Where should we go?	[ 84 153 88 ]
Zawsze chciałem zobaczyć twój dom.	I've always wanted to see your house.	[ 79 139 182 39 103 ]
Nie możemy iść właśnie teraz.	We can't go right now.	[ 5 242 88 145 63 ]
Czas na ciebie.	Now it's time for you to go.	[ 248 4 75 ]
Chcę, byś mnie miał.	I want you to have me.	[ 77 197 14 150 ]
Mam tego dość.	I'm tired of it.	[ 43 19 268 ]
Możesz iść teraz do domu jeśli chcesz.	You may go home now if you like.	[ 104 88 63 7 256 178 74 ]
Napisał do mnie wczoraj.	He wrote to me yesterday.	[ 360 7 14 60 ]
Byłem wczoraj w domu.	I was at home yesterday.	[ 124 60 3 256 ]
On ją kocha.	He loves her.	[ 65 68 200 ]
Możesz iść, jeśli chcesz.	You can go if you want to.	[ 104 88 178 74 ]
Jeśli chcesz, możesz iść.	If you wish, you can go.	[ 178 74 104 88 ]
Możesz iść, jeśli chcesz.	If you wish, you can go.	[ 104 88 178 74 ]
Muszę mu o tym powiedzieć.	I have to tell him about it.	[ 162 44 13 46 291 ]
Nie, nie i jeszcze raz nie!	No, no, and furthermore, no!	[ 5 5 27 56 570 5 ]
Czy on musi tak szybko jeździć?	Does he have to run so fast?	[ 67 65 147 54 101 235 ]
Czy on musi tak szybko jeździć?	Does he need to run so fast?	[ 67 65 147 54 101 235 ]
Czego teraz chcesz?	What do you want now?	[ 198 63 74 ]
Ale ja nie chcę.	But I don't want to.	[ 159 206 5 77 ]
Czy jego ojciec jest nauczycielem?	Is his father a teacher?	[ 67 34 115 1 343 ]
Tak, musisz.	Yes, you must.	[ 54 171 ]
Tak to się robi!	That's how you do it!	[ 54 6 2 388 ]
Mój ojciec lubi swoją pracę.	My father likes his job.	[ 41 115 35 70 302 ]
Gdzie twój pies?	Where is your dog?	[ 84 39 215 ]
Dziś nie mam na to czasu.	Today, I do not have time for this.	[ 69 5 43 4 6 549 ]
Nie rozumiem co mówisz.	I can't understand what you're saying.	[ 5 173 22 251 ]
Czy twój ojciec jest nauczycielem?	Is your father a teacher?	[ 67 39 115 1 343 ]
Nie czuję się dobrze.	I don't feel well.	[ 5 366 2 80 ]
Nie czuję się dobrze.	I'm not feeling well.	[ 5 366 2 80 ]
Możesz iść do domu.	You are free to go home.	[ 104 88 7 256 ]
Nowy samochód należy do niej.	This new car belongs to her.	[ 99 122 181 7 160 ]
Ona nic o mnie nie wie.	She doesn't know anything about me.	[ 125 126 13 14 5 402 ]
Gdzie mogę kupić książki?	Where can I buy books?	[ 84 24 120 229 ]
Często się mówi, że życie jest krótkie.	It is often said that life is short.	[ 128 2 73 10 228 1 358 ]
Powinieneś iść teraz do domu.	You should go home now.	[ 158 88 63 7 256 ]
Gdzie jest mój zegarek?	Where is my watch?	[ 84 1 41 332 ]
Ten rower należy do mnie.	This bicycle belongs to me.	[ 23 350 181 7 14 ]
Nie wiem o czym mówisz.	I don't know what you're talking about.	[ 5 154 13 152 251 ]
Ona go kocha.	She loves him.	[ 125 21 200 ]
Czy to twój rower?	Is this your bicycle?	[ 67 6 39 350 ]
Czy to twój rower?	Is this your bike?	[ 67 6 39 350 ]
Już wiem kim jesteś.	I already know who you are.	[ 25 154 234 49 ]
A co z tobą?	How about you?	[ 307 22 8 127 ]
To jest jabłko, też.	This is an apple, too.	[ 6 1 319 138 ]
Ten pokój nie jest duży.	That room is not very large.	[ 23 143 5 1 409 ]
To chyba twoje.	I guess this is yours.	[ 6 252 91 ]
Chce Cię tylko wtedy kiedy Ciebie nie ma.	I want you only when you're not there.	[ 131 26 52 475 155 75 5 12 ]
Nie jestem na to gotowy.	I'm not ready for that.	[ 5 30 4 6 537 ]
Łatwo ci mówić.	That's easy for you to say.	[ 223 18 110 ]
To nie jest nasz samochód, tylko ich.	This is not our car, it is theirs.	[ 6 5 1 546 122 52 93 ]
Teraz rozumiem.	I understand now.	[ 63 173 ]
Może już pan iść, proszę pana.	You can go now, sir.	[ 53 25 55 88 216 271 ]
Czy wiesz, co to jest?	Do you know what it is?	[ 67 497 22 6 1 ]
Pies jest w domu.	The dog is in the house.	[ 215 1 3 256 ]
Jesteś nauczycielem? Tak, jestem.	Are you a teacher? Yes, I am.	[ 49 343 54 30 ]
Jest bardzo dobry w tenisa.	He was very good at playing tennis.	[ 1 15 119 3 458 ]
Czy ona cię zna?	Does she know you?	[ 67 125 26 259 ]
On ich kocha.	He loves them.	[ 65 93 200 ]
Co zamierzasz z tym zrobić?	What are you going to do with it?	[ 22 352 8 46 169 ]
Widziałem Ciebie tam.	I saw you there.	[ 245 75 40 ]
Co nowego?	Is there anything new?	[ 22 219 ]
Mogę jeść.	I can eat.	[ 24 217 ]
To moje dziecko.	This is my baby.	[ 6 64 293 ]
Wiem że mam teraz problem.	I know I'm in trouble now.	[ 154 10 43 63 336 ]
To tyle na dzisiaj.	That's it for today.	[ 6 400 4 76 ]
Musisz zobaczyć jej dom.	You've got to see her home.	[ 171 182 33 103 ]
Mój ojciec nie będzie jutro zajęty.	My father will not be busy tomorrow.	[ 41 115 5 51 106 416 ]
Powinieneś iść.	You should go.	[ 158 88 ]
Jest wysoki jak mój ojciec.	He is as tall as my father.	[ 1 438 20 41 115 ]
Czy on jest twoim nauczycielem?	Is he your teacher?	[ 67 65 1 140 343 ]
Co ty mówisz?	What're you saying?	[ 22 98 251 ]
Czy mogę ci pomóc coś znaleźć?	May I help you find something?	[ 67 24 18 341 38 254 ]
Kim jest ten człowiek?	Who is this person?	[ 234 1 23 237 ]
Wszystkie te książki są moje.	All these books are mine.	[ 179 130 229 17 64 ]
Wszystkie te książki są moje.	All those books are mine.	[ 179 130 229 17 64 ]
Czy ma pan psa?	Do you have a dog?	[ 67 12 55 362 ]
To jest trochę dziwne dla mnie.	It's a bit strange to me.	[ 6 1 72 620 31 14 ]
